personid	name	villageid	gender	job	gold	state
1	Paul Bakerman	1	m	baker	850	friendly
2	Ernest Perry	3	m	weaponsmith	280	friendly
3	Rita Ox	1	f	baker	350	friendly
4	Carl Ox	1	m	merchant	250	friendly
5	Dirty Dieter	3	m	smith	650	evil
6	Gerry Slaughterer	2	m	butcher	4850	evil
7	Peter Slaughterer	3	m	butcher	3250	evil
8	Arthur Tailor	2	m	pilot	490	kidnapped
9	Tiffany Drummer	1	f	baker	550	evil
10	Peter Drummer	1	m	smith	600	friendly
11	Dirty Diane	3	f	farmer	10	evil
12	Otto Alexander	2	m	dealer	680	friendly
13	Fred Dix	3	m	author	420	friendly
14	Enrico Carpenter	3	m	weaponsmith	510	evil
15	Helen Grasshead	2	f	dealer	680	friendly
16	Ivy Hatter	1	f	dealer	770	evil
17	Edward Grasshead	3	m	butcher	990	friendly
18	Ryan Horse	3	m	blacksmith	390	friendly
19	Ann Meaty	2	f	butcher	2280	friendly
20	Stranger	1	?	?	0	?
